ApprovalOrderID,IssuedOn,PDFLink,OwnerName,SourceName,PhysicalStreet,PhysicalCity,PhysicalState,PhysicalZip,SourceContactName,SourceContactPhone,SourceContactEmail,UTM_Easting,UTM_Northing,UTM_Zone,UTM_Datum,SIC_Code,GeneralDescription,NSR_Classification,Source_Classification,Applicable_Federal_Standards,Project_Description,CO2e_TPY,CO_TPY,NOx_TPY,PM10_TPY,PM25_TPY,SO2_TPY,VOC_TPY,Total_HAPs_TPY
DAQE-AN157350003-24,2024-04-24,https://daqpermitting.utah.gov/DocViewer?IntDocID=144694&contentType=application/pdf,"Comfort Research, LLC.","Comfort Research, LLC. - Polystyrene Filled Products Manufacturing(Site ID: 15735)",350 West 1000 North,Tremonton,UT,84337,Bobby Rakes,(616) 475-5000,bobby.rakes@comfortresearch.com,402350,4620180,12,NAD83,3086,"Comfort Research, LLC (Comfort Research) owns/operates a polystyrene -filled product manufacturing facility in Tremonton, Box Elder County. These products include bean bag chairs and other furniture filled with expanded polystyrene (EPS) foam beads. The facility operates three (3) production lines. The first production line inflates EPS beads using an expander unit. The EPS beads are inflat ed by blowing steam across the beads in a steam chamber. The steam is generated using a 6.28 MMBtu/hr boiler. After initial expansion, the beads move to the fluidized bed section of the expander unit for partial drying and are then transferred to the fir st-pass stabilization/holding tent. The beads are allowed to stabilize for several hours in porous tents. After stabilizing, the beads are transferred back to the expander unit for final expansion. The beads are then transferred to a porous holding tent for final curing. The second and third production lines are used for filling bean bag products with EPS beads, sewing , and packaging.",Minor Modification at Minor Source,Located in Salt Lake City UT Particulate matter less than 2.5 microns in size NAA Box Elder County Airs Source Size: SM DAQE -AN157350003 -24 Page 4,None,"Comfort Resear ch has requested to following changes: 1. Increase the pentane content in the EPS beads processed on site from 4.5% by weight to 6.0% by weight (Condition II.B.1.c in Approval Order DAQE -AN157350001 -17). 2. Reduce the throughput of raw bead material from 2.5 million pounds per rolling 12 -month period to 2.25 million pounds per rolling 12 -month period (Condition II.B.1.b (A) in Approval Order DAQE -AN157350001 -17). 3. Increase the hours of operation for the boiler from 2,244 hours per rolling 12 -month pe riod to 4,488 hours per rolling 12 -month period (Condition II.B.1.b (B) in Approval Order DAQE -AN157350001 -17).",843.0,0.58,0.69,,0.04,0.01,10.63,0.02
DAQE-AN101810010-24,2024-02-01,https://daqpermitting.utah.gov/DocViewer?IntDocID=142824&contentType=application/pdf,Companion Systems Incorporated,Companion Systems Incorporated(Site ID: 10181),<br />645 West 200 North,North Salt Lake,UT,84054,Aaron Lee,(801) 936-8042,alee@companionsystems.com,421880,4522035,12,NAD83,3578,"Companion Systems Incorporated produces enclosures for automatic bank teller machines in North Salt Lake City in Davis County. The processes involved in the enclosure production include molding fabrication, gelcoating, barrier coating/laminating, and pain ting. The company operates up to 20 hours per day and 360 days per year.",Minor Modification at Minor Source,"Located in Northern Wasatch Front O3 NAA, Salt Lake Cit y UT PM 2.5 NAA, Davis County Airs Source Size: B",None,"The source has requested to add a new paint booth. A new heating unit rated at 2.5 MMBtu/hr will provide heated air to the paint booth. The paint booth will be equipped with filters with a control  efficiency of 98.9% to control particulate emissions from the painting operations. This new paint booth is intended to allow the painted products more drying time and also allow larger parts to be painted. The new paint booth will not increase paint consumption. There are no emission increases from the sitewide painting operations. Emissions from the heating unit are added to the sitewide total emissions. The source has also requested to remove the following processes and equipment from the AO DAQE -AN101810009 -17: II.A.9, Acetone Recycling, and II.A.13, One (1) Cut and Buff Booth (Back Shop). The booth did not vent to the atmosphere.",1290.0,0.9,1.08,0.08,0.08,,0.06,0.02
DAQE-AN124390012-25,2025-07-30,https://daqpermitting.utah.gov/DocViewer?IntDocID=156865&contentType=application/pdf,Compass Minerals Ogden Inc.,Compass Minerals Inc. - West Desert Operations(Site ID: 12439),West side of Great Salt Lake (Remote Location),Box Elder County,UT,84402,Ian Wright,(801) 732-3011,wrighti@compassminerals.com,332885,4578003,12,NAD83,2819,"Compass Minerals Inc. (Compass) owns and operates a pumping operation, West Desert Operations (West Desert), located in Box Elder County. Brine is pumped from the North Arm of the Great Salt Lake into a series of initial evaporation ponds at two pump stations. The brine is then concentra ted in the solar evaporation pond complex for approximately one year before being pumped to Behren's Trench at a pump station. The facility operates twelve diesel engines each to pump water from the Great Salt Lake into the West Desert evaporative pond com plex.",Administrative Amendment,Located in Attainment Area Box Elder County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines NSPS (Part 60), JJJJ: Standards of Performance for Stationary Spark Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions DAQE -AN124390012 -25 Page 4 MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines",Compass has requested for OGN 003 equipment (145 HP Natural Gas Generator) to be removed from A O DAQE -AN124390010 -23. This equipment will be incorporated into another approval order.,0.0,-1.6,-0.8,-0.05,-0.05,0.0,-0.56,-0.09
DAQE-AN109170051-25,2025-09-25,https://daqpermitting.utah.gov/DocViewer?IntDocID=158058&contentType=application/pdf,Compass Minerals Ogden Inc.,Compass Minerals Ogden Inc. - Production Plant(Site ID: 10917),765 N 10500 W,Ogden,UT,84404,Ian Wright,(801) 732-3301,wrighti@compassminerals.com,396869,4570651,12,NAD27,2819,"Compass Minerals Ogden Inc. (Compass) harvests and processes salt and minerals from the Great Salt Lake to produce sulfate of potash (SOP), salt, and magnesium chloride.",Minor Modification at Major Source,................................ ................................ ................................ .............. 3,................................ ................................ ................................ . 3,"Compass has requested to replace an emergency generator with an engine from their West Desert facility. Engine OGN007 will be replaced with OGN003. This will result in a small decrease in NO x and SO 2 emissions and a small increase in CO emissions. The removal of crusher OCR503 is also documented in this project, which resulted in a minor reduction in particulate emissions.",0.0,0.02,-0.13,0.0,0.0,-0.02,0.0,0.0
DAQE-AN161180003-23,2023-01-11,https://daqpermitting.utah.gov/DocViewer?IntDocID=134467&contentType=application/pdf,Concrete Onsite Express,Concrete Onsite Express- Portable Aggregate Equipment(Site ID: 16118),Various County's in Utah,Portable Source,UT,,,(435) 823-6833,,,,,,3273,"Concrete Onsite Express has requested an AO for a portable source. This AO is issued to Concrete Onsite Express for the purpose of operating a portable source that belongs to the nonmetallic mineral processing industry, including aggregate, concrete, and hot mix asphalt plants. The plants subject to this AO shall be temporarily operated for a period of not more than 180 working days at any location. A relocation shall not exceed 365 consecutive days at any location in the state of Utah. Prior to the commencement of operation at a location, the owne r/operator shall submit a Notice of Temporary Relocation to the Director and obtain a Temporary Relocation Approval Letter. If the owner/operator operates at a location in compliance with the AO, the Notice of Temporary Relocation, and the Temporary Reloc ation Approval Letter, dispersion modeling results have determined that there will be no adverse impacts on air quality at the nearest residence or commercial establishment. Compliance with the opacity limits and operating practices contained in the con ditions of the AO shall be considered as application of BACT. The emission control measures required in the conditions of this AO shall apply to all of the locations at which the source approved by this AO operates. The source may be required to adopt ad ditional measures for controlling emissions to address location -specific concerns. This AO limits the source to emissions that are below the major source threshold, making it a ""Synthetic Minor"" source. DAQE -AN161180003 -23 Page 4",New Minor Source,Airs Source Size: SM,"NSPS (Part 60), A: General Provisions NSPS (Part 60), I: Standards of Performance for Hot Mix Asphalt Facilities NSPS (Part 60), OOO: Standards of Performance for Nonmetallic Mineral Processing Plants NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source",,,,,0.024,0.024,,,
DAQE-AN122880003-24,2025-01-08,https://daqpermitting.utah.gov/DocViewer?IntDocID=151709&contentType=application/pdf,Concrete Recycling Incorporated,Concrete Recycling Incorporated- Construction Debris Recycling(Site ID: 12288),620 South Delong Street,Salt Lake City,UT,84104,Shawn Bishop,(801) 973-0066,shawn@impactdemolition.net,419497,4512062,12,NAD83,5093,"Construction Recycling Inc orporated operates a permanent aggregate operation that processes construction debris into road -base gravel and fill material in Salt Lake County, Utah. The facility includes feeders, crushers, screens, stackers, and associated conveying equipment. The facility pro duces up to 400,000 tons of processed material per year.",10-Year Review,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake County SO 2 NAA Salt Lake County Airs Source Size: B","NSPS (Part 60), A: General Provisions NSPS (Part 60), OOO: Standards of Perform ance for Nonmetallic Mineral Processing Plants MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE -AN122880003 -24 Page 4","This project is a 10 -year review of Approval Order DAQE -AN2288003 -04 dated April 20, 2004.",,0.0,0.0,0.0,0.0,0.0,0.0,
DAQE-AN131360008-23,2023-02-16,https://daqpermitting.utah.gov/DocViewer?IntDocID=134913&contentType=application/pdf,ConocoPhillips Company,ConocoPhillips Company- Price Facility Well 23-14-21(Site ID: 13136),Wellhead Site 23-14-21,Carbon County,UT,84501,,(435) 613-2910,,509822,4382052,12,NAD83,1311,ConocoPhillips Company (Con oco) operates a natural gas compressor station at their Wellhead Site 23 - 14-21 (Price Facility) in Carbon County.,10-Year Review,Located in Attainment Area Carbon County Airs Source Size: B,"MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines DAQE -AN131360008 -23 Page 4","This project is a 10 -Year Review of Approval Order DAQE -AN3136001 -05, dated October 18, 2005 .",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN155650001-16,2016-05-20,https://daqpermitting.utah.gov/DocViewer?IntDocID=93793&contentType=application/pdf,"Contract Environmental Services, Inc.","Contract Environmental Services, Inc.- Aneth Landfarm(Site ID: 15565)",NE-NE Sec 18 T39S R26E,San Juan County,UT,,,(970) 565-1198,yoshi@contractenv.com,668291,4140842,12,,0711,"Contract Environmental Services Inc. (CES) has requ ested an AO for a landfarm that will treat contaminated soils received from oil and gas produc tion operations. The contaminated soils will be la nd applied, watered, and tilled regularly to maximize microbial degradation reducing the total emissions to the atmosphere. This source will process contamina ted soils with total emissions not exceeding 36.54 tons of VOCs and HAPs per year. The source is located in San Juan County, which is an attainment area for all criteria pollutants. NS PS (40 CFR 60) and MACT (40 CFR 63) regulations do not apply to this source. NESHAP (40 CFR 61 Subpart M) regulations apply to this source. Title V of the 1990 Clean Air Act does not apply to this source. The potential emissions, in TPY, will be as follows : PM 10 = 2.7, PM 2.5 (subset of PM 10 ) = 0.3, VOC = 34.88, and HAPs = 1.66. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: Contract Environmental Services, Inc. 925 South Broadway, Suite 251 Cortez, CO 81321 Permitted Location: Aneth Landfarm NE-NE Sec 18 T39S R26E San Juan County, UT UTM coordinates: 668,291 m Easting, 4,140,842 m Northing, UTM Zone 12 SIC code: 0711 (Soil Preparation Services)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN104520007-24,2024-10-17,https://daqpermitting.utah.gov/DocViewer?IntDocID=149259&contentType=application/pdf,Cottonwood Mill & Cabinet,Cottonwood Mill & Cabinet - Cabinet Manufacturing Facility(Site ID: 10452),12757 S Minuteman Way,Draper,UT,84020,Kari Kovar,(801) 572-6550,kari.kovar@cottonwoodcabinets.com,424679,4485798,12,NAD83,2511,"Cottonwood Mill & Cabinet operates a cabinet manufacturing facility in Draper, Utah. The facility generates emissions from wood finishing operations as well as wood coating and painting operations from the paint spray booths at the facility. Particulates from wood cutting, planing , and sanding operations are controlled by a vacuum system that routes particulates to internally venting baghouses at the facility. Painting and spraying operations take place in the paint spray booths at the fac ility and are controlled by particulate arrestor filter systems.",10-Year Review,"Located in Northern Wasatch Front O3 NAA, Salt Lake City UT PM 2.5 NAA, Salt Lake Cou nty SO 2 NAA Salt Lake County Airs Source Size: B",None DAQE -AN104520007 -24 Page 4,"This administrative amendment is to incorporate updates to the approval order (AO). Cottonwood Mill & Cabinet sent letters to the DAQ indicating the two baghouses previously listed in the AO were replaced with baghouse units that vent internally (DAQE -948-97 and DAQE -494-01). The requirements related to the baghouses were removed from the requirements section as they do not vent to the atmosphere. Additionally, condition II.B.1.e from the previous AO did not apply to any equipment on site, as there are no instruments operating that require calibration at the facility. Therefore, this requirement was removed from the AO.",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN106850004-22,2022-10-05,https://daqpermitting.utah.gov/DocViewer?IntDocID=133405&contentType=application/pdf,Crandall's Crushing Corporation,Crandall's Crushing Corporation- Peoa Aggregate Pit(Site ID: 10685),2504 West State Road 32,Peoa,UT,84061,,(435) 731-6224,,472397,4508467,12,NAD83,1442,"Crandall's Crushing Corporation (Crandall's) operates an aggregate processing plant near the town of Peoa in Summit County. Equipment includes crushers, screens, conveyors, and a generator engine. Annual aggregate production is limited to 300,000 tons.",Administrative Amendment,Located in Attainment Area Summit County Airs Source Size: B,"NSPS (Part 60), A: General Provisions NSPS (Part 60), OOO: Standards of Performance for Nonmetallic Mineral Processing Plants NSPS (Part 60), IIII: Standards of Performance for Stationary Compression Ignition Internal Combustion Engines MACT (Part 63), A: General Provisions MACT (Part 63), ZZZZ: National Emissions Standards for Hazardous Air Pollutants for Stationary Reciprocating Internal Combustion Engines Title V (Part 70) Area Source DAQE -AN106850004 -22 Page 4","The source has requested to replace the following screen: II.A.5: One (1) screen rated at 660 tph manufactured in 2005 with new screen rated at 660 tph and manufactured in 2022. The new screen meets the applicability requirements in R307 -401-11(1)(a) t hrough (h); therefore, the current AO is updated to reflect the replacement -in-kind. The replaced screen was manufactured in 2005 and operates in a PM 10 attainment area, its opacity limit is 10% or lower. The new screen, however, is manufactured in 2022, therefore, the opacity limit is 7% or lower per NSPS Subpart OOO.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DAQE-AN149840002-16,2016-02-29,https://daqpermitting.utah.gov/DocViewer?IntDocID=92007&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - 4-12C5(Site ID: 14984)",40.2326736450195 <br />-110.393142700195,Duchesne County,UT,84000,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,551625,4453759,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested to change the name of a previously permitted Crude Oil and Natural Gas Production Tank Battery n amed 3-34A1 to EP Energy 4-12C5. This change is to accommodate modifications to EP Energy's drillin g schedule for the area. The PTE and equipment wil l remain the same. An electric pumpjack will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and wate r will be stored in tanks prior to being transporte d off site by trucks. The gas will be used as fuel for t he onsite equipment or will be routed to a sales pi peline and shipped off site. This facility will produce u p to 102,200 barrels of crude oil per year. The source is located in Duchesne County, which is an unclassified area of the NAAQS for Ozone and attainment area for all other pollutants. NSPS 40 CFR 60 Subpart A, Subpart OOOO, regulations apply to this source. NESHAP 40 CFR 61 regulations do no t apply to this source. This area source is exempt from the Operating Permit program. The potential emissions, in TPY, will be as follows : PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, total HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy 4-12C5 Remote location Duchesne County, UT UTM coordinates: 551,625 m Easting, 4,453,759 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,0.7
DAQE-AN149330001-15,2015-03-17,https://daqpermitting.utah.gov/DocViewer?IntDocID=116910&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Adelman 2-4C4(Site ID: 14933)",40.2440414428711 <br />-110.334785461426,Duchesne,UT,84000,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,556580,4455056,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Adelman 2-4C4. An electric pump jack will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and water will be sto red in tanks prior to being transported off site by trucks . The gas will be used as fuel for the onsite equi pment or will be routed to a sales pipeline and shipped off site. This facility will process up to 102,200 bar rels of crude oil per year. The source is located in Duchesne County, which is an unclassified area for ozone and attainment for a ll other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in tons per year, will be as follows: PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy E&P Company, L.P.- Adelman 2- 4C4 Remote location Duchesne County, UT UTM coordinates: 556,580 m Easting, 4,455,056 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN150000001-15,2015-03-16,https://daqpermitting.utah.gov/DocViewer?IntDocID=80794&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Adelman 5-9C4(Site ID: 15000)",40.2369003295898 <br />-110.33512878418,Duchesne County,UT,,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,556443,4454541,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Adelman 5-9C4. An electric pump jack will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and water will be sto red in tanks prior to being transported off site by trucks . The gas will be used as fuel for the onsite equi pment or will be routed to a sales pipeline and shipped off site. This facility will process up to 102,200 bar rels of crude oil per year. The source is located in Duchesne County, which is an unclassified area for ozone and attainment for a ll other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in TPY, will be as follows : PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: Adelman 5-9C4 Remote Location Duchesne County, UT UTM coordinates: 556,443 m Easting, 4,454,541 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN148100001-15,2015-04-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=81841&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Alba 1-21C4 (Site ID: 14810)",40.2116813659668 <br />-110.335632324219,Duchesne,UT,84000,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,556535,4451464,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Alba 1-21C4. An electric pumpja ck will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and water will be stored i n tanks prior to being transported off site by trucks. The gas will be used as fuel for the onsite equipment or will be routed to a sales pipeline and shipped off site. This facility will process up to 102,200 barrels of crude oil per year. The source is located in Duchesne County, which is an unclassified area for ozone and attainment for a ll other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in tons per year, will be as follows: PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy E&P Company, L.P.- Alba 1-21C4 Production Tank Battery NE-NE Sec 21 T3S R4W Duchesne County, UT UTM coordinates: 556,535 m Easting, 4,451,464 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN142720004-13,2013-03-12,https://daqpermitting.utah.gov/DocViewer?IntDocID=64824&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Allen 3-7B4(Site ID: 14272)",40.3268432617187 <br />-110.385368347168,Duchesne County,UT,,,(713) 997-5144,Ximena.Simmons@epenergy.com,552271,4464225,12,,1311,"EP Energy E&P Company, L.P. has requested a modific ation to",,,,,,2.0,,10.0,2.5,,,
DAQE-AN148110001-15,2015-04-21,https://daqpermitting.utah.gov/DocViewer?IntDocID=81838&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Allen 4-25B5 (Site ID: 14811)",40.275146484375 <br />-110.393760681152,Duchesne,UT,84000,,(713) 997-5144,ximena.simmons@epenergy.com,551540,4458473,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Allen 4-25B5. An electric pumpj ack will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and water will be stored i n tanks prior to being transported off site by trucks. The gas will be used as fuel for the onsite equipment or will be routed to a sales pipeline and shipped off site. This facility will process up to 102,200 barrels of crude oil per year. The source is located in Duchesne County, which is an unclassified area for ozone and attainment for a ll other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in tons per year, will be as follows: PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy E&P Company, L.P.- Allen 4-25B5 Production Tank Battery NW-SE Sec 25 T2S R5W Duchesne County, UT UTM coordinates: 551,540 m Easting, 4,458,473 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN150030001-15,2015-03-17,https://daqpermitting.utah.gov/DocViewer?IntDocID=80863&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Allred Trust 2-31A1E_Uintah(Site ID: 15003)",40.3565902709961 <br />-109.920295715332,Uintah,UT,84000,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,591683,4467896,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Allred Trust 2-31A1E. An electr ic pumpjack will bring produced fluids to the surface from the well. A heater treater will separ ate the oil, water, and gas. The oil and water wil l be stored in tanks prior to being transported off site by trucks. The gas will be used as fuel for the o nsite equipment or will be routed to a sales pipeline and shipped off site. This facility will process up t o 102,200 barrels of crude oil per year. The source is located in Uintah County, which is an unclassified area for ozone and attainment for all other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in tons per year, will be as follows: PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy E&P Company, L. P.- Allred Trust 2-31A1E_Uintah Remote Location Uintah County, UT UTM coordinates: 591,683 m Easting, 4,467,896 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
DAQE-AN150040001-15,2015-03-24,https://daqpermitting.utah.gov/DocViewer?IntDocID=81122&contentType=application/pdf,"Crescent Energy Operating, LLC","Crescent Energy Operating, LLC - Anderson 2-21C4(Site ID: 15004)",40.2111511230469 <br />-110.347351074219,Duchesne,UT,84000,,(713) 997-5144,Ximena.Simmons@EPEnergy.com,555538,4451397,12,,1311,"EP Energy E&P Company LP (EP Energy) has requested a new Crude Oil and Natural Gas Production Tank Battery named Anderson 2-21C4. An electric pu mpjack will bring produced fluids to the surface from the well. A heater treater will separate the oil, water, and gas. The oil and water will be sto red in tanks prior to being transported off site by trucks . The gas will be used as fuel for the onsite equi pment or will be routed to a sales pipeline and shipped off site. This facility will process up to 102,200 bar rels of crude oil per year. The source is located in Duchesne County, which is an unclassified area for ozone and attainment for a ll other criteria pollutants. NSPS 40 CFR 60 Subpart A, and Subpart OOOO regulations apply to this source. NESHAP 40 CFR 61 and MACT 40 CFR 63 regula tions do not apply to this source. Title V of the 1990 Clean Air Act does not apply to this sourc e. The potential emissions, in tons per year, will be as follows: PM 10 = 0.12, PM 2.5 (subset of PM 10 ) = 0.12, NO x = 2.27, CO = 4.78, SO 2=0.01, VOC = 8.04, HAPs = 0.70, and CO 2e = 3,068. This air quality AO authorizes the project with the following conditions and failure to comply with an y of the conditions may constitute a violation of this o rder. This AO is issued to, and applies to the fol lowing: Name of Permittee: EP Energy E&P Company, L.P. PO Box 4660 Houston, TX 77210 Permitted Location: EP Energy E&P Company, L. P.- Anderson 2- 21C4 Remote Location Duchesne County, UT UTM coordinates: 555,538 m Easting, 4,451,397 m Northing, UTM Zone 12 SIC code: 1311 (Crude Petroleum & Natural Gas)",,,,,,2.0,,10.0,2.5,,,
